City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,harper,4.375,-7.7169,26.7,82,79,2.43,LR,1676516517
362,ribas do rio pardo,-20.4431,-53.7592,22.97,89,100,1.72,BR,1676516517
363,mandurah,-32.55,115.7,22.81,53,0,4.91,AU,1676516221
364,anjozorobe,-18.4,47.8667,16.97,92,100,1.04,MG,1676516418
365,tongren,27.7172,109.1853,8.33,54,100,0.78,CN,1676516518
366,kloulklubed,7.0419,134.2556,27.49,83,65,8.28,PW,1676516483
367,myre,69.1036,15.9492,4.97,80,100,6.79,NO,1676516518
368,constitucion,-35.3333,-72.4167,15.04,80,0,5.78,CL,1676516519
369,salzhemmendorf,52.067,9.5872,4.65,84,100,2.52,DE,1676516519
370,uarini,-2.99,-65.1083,23.05,99,97,0.66,BR,1676516520
371,lufilufi,-13.8745,-171.5986,30.88,67,95,5.51,WS,1676516520
372,grand-lahou,5.1367,-5.0242,26.26,87,94,2.42,CI,1676516520
373,almeirim,-1.5233,-52.5817,23.7,96,100,1.92,BR,1676516521
374,xai-xai,-25.0519,33.6442,23.14,95,9,2.76,MZ,1676516521
375,soldato-aleksandrovskoye,44.2653,43.7561,-4.3,85,100,2.08,RU,1676516522
376,bayan,46.0833,127.4,-9.44,71,98,2.57,CN,1676516522
377,turukhansk,65.8167,87.9833,-15.14,96,100,4.41,RU,1676516427
378,agirish,61.9247,63.0231,-17.84,100,100,2.33,RU,1676516523
379,roald,62.5833,6.1333,8.08,66,100,6.17,NO,1676516523
380,alappuzha,9.49,76.3264,23.65,69,23,2.08,IN,1676516524
381,luangwa,-15.6167,30.4167,22.73,98,100,0.57,ZM,1676516524
382,qasigiannguit,68.8193,-51.1922,-10.86,77,100,2.36,GL,1676516525
383,douentza,14.9951,-2.9517,20.29,21,94,3.21,ML,1676516525
384,gaziantep,37.0594,37.3825,-1.04,55,0,1.03,TR,1676516413
385,huatulco,15.8436,-96.3267,24.37,82,0,1.51,MX,1676516526
386,hofn,64.2539,-15.2082,1.74,74,100,3.4,IS,1676516526
387,ancud,-41.8697,-73.8203,9.1,69,37,3.35,CL,1676516527
